,,,,,
,,,,,
RK,TEAM,P,YC,RC,PTS
1,RKC Waalwijk,34,61,3,70
2,Vitesse,34,48,5,63
3,Fortuna Sittard,34,57,2,63
4,SC Cambuur,34,49,4,61
5,FC Twente,34,56,1,59
6,PSV Eindhoven,34,50,3,59
7,FC Groningen,34,44,5,59
8,Go Ahead Eagles,34,52,2,58
9,FC Utrecht,34,55,1,58
10,Sparta Rotterdam,34,49,3,58
11,NEC Nijmegen,34,49,3,58
12,Heerenveen,34,55,1,58
13,AZ Alkmaar,34,51,1,54
14,FC Emmen,34,45,2,51
15,FC Volendam,34,42,3,51
16,Excelsior,34,48,1,51
17,Feyenoord Rotterdam,34,49,0,49
18,Ajax Amsterdam,34,46,1,49
