,,,,,
,,,,,
RK,TEAM,P,YC,RC,PTS
1,Vitesse,38,81,7,102
2,Sparta Rotterdam,34,62,3,71
3,FC Groningen,34,51,5,66
4,Fortuna Sittard,34,62,1,65
5,Heracles Almelo,34,54,3,63
6,AZ Alkmaar,38,59,1,62
7,SC Cambuur,34,52,3,61
8,FC Twente,34,52,3,61
9,Willem II,34,42,6,60
10,NEC Nijmegen,34,50,3,59
11,RKC Waalwijk,34,55,1,58
12,PEC Zwolle,34,51,2,57
13,FC Utrecht,36,56,0,56
14,Go Ahead Eagles,34,37,5,52
15,Heerenveen,36,43,2,49
16,PSV Eindhoven,34,43,0,43
17,Feyenoord Rotterdam,34,41,0,41
18,Ajax Amsterdam,34,33,1,36
